State_ID	Year	Area	Technology_ID	Potential_Adoption [-]	Semester
1	2025	urban	9	0.095858	second
1	2025	urban	10	0.06948	second
1	2025	urban	11	0.033783	second
1	2025	urban	12	0.029555	second
1	2025	urban	13	0.026534	second
1	2025	urban	14	0.027948	second
1	2025	urban	15	0.005658	second
1	2025	urban	16	0.041269	second
1	2025	urban	17	0.026386	second
1	2025	urban	18	0.037247	second
1	2025	urban	19	0.041875	second
10	2030	rural	1	0.000655	first
10	2030	rural	2	0.000616	first
10	2030	rural	3	0.000649	first
10	2030	rural	4	0.003966	first
10	2030	rural	5	0.000435	first
10	2030	rural	6	0.019932	first
10	2030	rural	7	0.026464	first
10	2030	rural	8	0.010603	first
10	2030	rural	9	0.050696	first
10	2030	rural	10	0.086678	first
10	2030	rural	11	0.052377	first
10	2030	rural	12	0.136683	first
10	2030	rural	13	0.128766	first
10	2030	rural	14	0.065632	first
10	2030	rural	15	0.005666	first
10	2030	rural	16	0.176879	first
10	2030	rural	17	0.155094	first
10	2030	rural	18	0.072106	first
10	2030	rural	19	0.006104	first
10	2030	urban	1	0.009048	first
10	2030	urban	2	0.008472	first
10	2030	urban	3	0.005534	first
10	2030	urban	4	0.005021	first
10	2030	urban	5	0.001703	first
10	2030	urban	6	0.047812	first
10	2030	urban	7	0.105175	first
10	2030	urban	8	0.060214	first
10	2030	urban	9	0.028038	first
10	2030	urban	10	0.069244	first
10	2030	urban	11	0.070474	first
10	2030	urban	12	0.114645	first
10	2030	urban	13	0.124175	first
10	2030	urban	14	0.116039	first
10	2030	urban	15	0.015736	first
10	2030	urban	16	0.028846	first
10	2030	urban	17	0.044649	first
10	2030	urban	18	0.063907	first
10	2030	urban	19	0.081268	first
11	2030	rural	1	0.000665	second
11	2030	rural	2	0.000636	second
11	2030	rural	3	0.000679	second
11	2030	rural	4	0.003958	second
11	2030	rural	5	0.00044	second
11	2030	rural	6	0.019829	second
11	2030	rural	7	0.025908	second
11	2030	rural	8	0.010691	second
11	2030	rural	9	0.048554	second
11	2030	rural	10	0.085421	second
11	2030	rural	11	0.051113	second
11	2030	rural	12	0.137423	second
11	2030	rural	13	0.131369	second
11	2030	rural	14	0.06548	second
11	2030	rural	15	0.005682	second
11	2030	rural	16	0.177212	second
11	2030	rural	17	0.156838	second
11	2030	rural	18	0.071804	second
11	2030	rural	19	0.006298	second
11	2030	urban	1	0.009033	second
11	2030	urban	2	0.008895	second
11	2030	urban	3	0.005853	second
11	2030	urban	4	0.005016	second
11	2030	urban	5	0.001725	second
11	2030	urban	6	0.046749	second
11	2030	urban	7	0.10241	second
11	2030	urban	8	0.058404	second
11	2030	urban	9	0.027553	second
11	2030	urban	10	0.068707	second
11	2030	urban	11	0.069096	second
11	2030	urban	12	0.118411	second
11	2030	urban	13	0.131153	second
11	2030	urban	14	0.116016	second
11	2030	urban	15	0.016019	second
11	2030	urban	16	0.028474	second
11	2030	urban	17	0.045026	second
11	2030	urban	18	0.062193	second
11	2030	urban	19	0.079266	second
20	2033	rural	1	0.000773	first
20	2033	rural	2	0.000918	first
20	2033	rural	3	0.001026	first
20	2033	rural	4	0.004154	first
20	2033	rural	5	0.000492	first
20	2033	rural	6	0.019137	first
20	2033	rural	7	0.022846	first
20	2033	rural	8	0.011969	first
20	2033	rural	9	0.032784	first
20	2033	rural	10	0.079644	first
20	2033	rural	11	0.043759	first
20	2033	rural	12	0.137349	first
20	2033	rural	13	0.150608	first
20	2033	rural	14	0.065861	first
20	2033	rural	15	0.006043	first
20	2033	rural	16	0.173396	first
20	2033	rural	17	0.169424	first
20	2033	rural	18	0.071183	first
20	2033	rural	19	0.008633	first
20	2033	urban	1	0.010378	first
20	2033	urban	2	0.013589	first
20	2033	urban	3	0.009165	first
20	2033	urban	4	0.006238	first
20	2033	urban	5	0.001976	first
20	2033	urban	6	0.03866	first
20	2033	urban	7	0.08342	first
20	2033	urban	8	0.0467	first
20	2033	urban	9	0.023394	first
20	2033	urban	10	0.067325	first
20	2033	urban	11	0.061288	first
20	2033	urban	12	0.136417	first
20	2033	urban	13	0.179085	first
20	2033	urban	14	0.116801	first
20	2033	urban	15	0.019177	first
20	2033	urban	16	0.023782	first
20	2033	urban	17	0.045502	first
20	2033	urban	18	0.048525	first
20	2033	urban	19	0.068579	first
21	2033	rural	1	0.000783	second
21	2033	rural	2	0.000932	second
21	2033	rural	3	0.001045	second
21	2033	rural	4	0.004136	second
21	2033	rural	5	0.000493	second
21	2033	rural	6	0.019084	second
21	2033	rural	7	0.022648	second
21	2033	rural	8	0.01207	second
21	2033	rural	9	0.032447	second
21	2033	rural	10	0.079434	second
21	2033	rural	11	0.043595	second
21	2033	rural	12	0.137212	second
21	2033	rural	13	0.151115	second
21	2033	rural	14	0.065901	second
21	2033	rural	15	0.006072	second
21	2033	rural	16	0.1732	second
21	2033	rural	17	0.16978	second
21	2033	rural	18	0.071203	second
21	2033	rural	19	0.00885	second
21	2033	urban	1	0.010458	second
21	2033	urban	2	0.013621	second
21	2033	urban	3	0.009246	second
21	2033	urban	4	0.006358	second
21	2033	urban	5	0.001967	second
21	2033	urban	6	0.038396	second
21	2033	urban	7	0.082895	second
21	2033	urban	8	0.046428	second
21	2033	urban	9	0.023192	second
21	2033	urban	10	0.067161	second
21	2033	urban	11	0.061116	second
21	2033	urban	12	0.136799	second
21	2033	urban	13	0.180482	second
21	2033	urban	14	0.116984	second
21	2033	urban	15	0.019403	second
21	2033	urban	16	0.023556	second
21	2033	urban	17	0.045428	second
21	2033	urban	18	0.048173	second
21	2033	urban	19	0.068336	second
30	2038	rural	1	0.000981	first
30	2038	rural	2	0.00133	first
30	2038	rural	3	0.001411	first
30	2038	rural	4	0.004424	first
30	2038	rural	5	0.000511	first
30	2038	rural	6	0.018942	first
30	2038	rural	7	0.024235	first
30	2038	rural	8	0.014309	first
30	2038	rural	9	0.030782	first
30	2038	rural	10	0.085578	first
30	2038	rural	11	0.046739	first
30	2038	rural	12	0.125572	first
30	2038	rural	13	0.152706	first
30	2038	rural	14	0.068904	first
30	2038	rural	15	0.006875	first
30	2038	rural	16	0.159652	first
30	2038	rural	17	0.169958	first
30	2038	rural	18	0.074308	first
30	2038	rural	19	0.012782	first
30	2038	urban	1	0.014407	first
30	2038	urban	2	0.016229	first
30	2038	urban	3	0.011154	first
30	2038	urban	4	0.008687	first
30	2038	urban	5	0.001991	first
30	2038	urban	6	0.037147	first
30	2038	urban	7	0.083174	first
30	2038	urban	8	0.048522	first
30	2038	urban	9	0.020896	first
30	2038	urban	10	0.070597	first
30	2038	urban	11	0.06531	first
30	2038	urban	12	0.120131	first
30	2038	urban	13	0.179253	first
30	2038	urban	14	0.119287	first
30	2038	urban	15	0.023319	first
30	2038	urban	16	0.018662	first
30	2038	urban	17	0.04059	first
30	2038	urban	18	0.044172	first
30	2038	urban	19	0.076474	first
